Intent,Category,Example Queries,Required Info,Troubleshooting Steps,Assignment
kerberos_key_rollover,Azure,Roll over Kerberos decryption key for SSO,Server/Account details,Execute key rollover procedure,Azure Team
certificate_renewal,Azure,Renew SSL Inspect certificate,"Certificate details, scope",Renew & deploy certificate,Azure Team
app_registration,Azure,Azure AD App Registration for Performance Hub,App details,Create app registration,Azure Team
certificate_deployment,Azure,Push certificate to all machines,"Certificate details, target devices",Deploy via GPO/Intune,Azure Team
kerberos_key_rollover,Azure,Roll over Kerberos key AZUREADSSOACC,Account details,Perform rollover,Azure Team
kerberos_key_renewal,Azure,Kerberos Key Renewal for Azure SSO,Account details,Renew Kerberos key,Azure Team
gpo_update,Azure,Amend Bitwarden GPO setting,GPO details,Modify group policy,Azure Team
gpo_update,Azure,Update WiFi GPO for Radius servers,GPO details,Modify configuration,Azure Team
dns_configuration,Azure,Create DNS records for Grafana,"DNS name, IP",Add DNS entries,Azure Team
gpo_update,Azure,Update Chrome browser GPO,GPO details,Modify policy,Azure Team
gpo_removal,Azure,Remove Bitwarden GPO,GPO details,Remove policy,Azure Team
kerberos_key_renewal,Azure,Kerberos renewal process,Account details,Renew key,Azure Team
kerberos_key_rollover,Azure,Roll over Kerberos SSO account,Account details,Execute rollover,Azure Team
ad_cleanup,Azure,Remove unused AD groups,Group details,Delete unused groups,Azure Team
ad_cleanup,Azure,Cleanup weak/dormant AD accounts,Account list,Disable/remove accounts,Azure Team
ad_cleanup,Azure,Remove unused AD security groups,Group details,Delete groups,Azure Team
certificate_cleanup,Azure,Delete expired certificate from GPO,Certificate details,Remove from GPO,Azure Team
testing,Azure,Post implementation testing,Change details,Validate implementation,Azure Team
implementation,Azure,Implement change,Change details,Execute implementation,Azure Team
ad_group_creation,Azure,Create AD security group for VM,"Group name, users",Create group,Azure Team
access_coordination,Azure,Coordinate admin access for VM,User details,Check user eligibility ? Get approval from manager/application owner ? Verify AD group ? Add user to required Performance Hub AD group ? Ask user to re-login and validate access,Azure Team
testing,Azure,Post implementation testing,Change details,Validate changes,Azure Team
implementation,Azure,Implement change,Change details,Execute change,Azure Team
testing,Azure,Post implementation testing,Change details,Validate system,Azure Team
implementation,Azure,Implement change,Change details,Execute task,Azure Team
testing,Azure,Post implementation testing,Change details,Validate,Azure Team
implementation,Azure,Implement change,Change details,Execute,Azure Team
access_request,Azure,Performance Hub access request,User details,Check user eligibility ? Get approval from manager/application owner ? Verify AD group ? Add user to required Performance Hub AD group ? Ask user to re-login and validate access,Azure Team
application_unblock,Azure,Unblock PSI Chrome extension,User/device details,Whitelist extension,Azure Team
gpo_update,Azure,Change URL in GPO shortcut,Old/New URL,Update GPO,Azure Team
access_request,Azure,Performance Hub access,User details,Check user eligibility ? Get approval from manager/application owner ? Verify AD group ? Add user to required Performance Hub AD group ? Ask user to re-login and validate access,Azure Team
sso_configuration,Azure,Esko SSO Azure sign-on issue,App/user details,Configure SSO,Azure Team
application_setup,Azure,NOTIF application implementation,App details,Deploy application,Azure Team
certificate_renewal,Azure,Renew certificates,Certificate details,Renew & deploy,Azure Team
access_request,Azure,Provide PerformanceHub access,User list,Check user eligibility ? Get approval from manager/application owner ? Verify AD group ? Add user to required Performance Hub AD group ? Ask user to re-login and validate access,Azure Team
vm_creation,Azure,Create new Azure VM for IIS,VM specs,Deploy VM,Azure Team
access_request,Azure,Performance Hub access,User details,Check user eligibility ? Get approval from manager/application owner ? Verify AD group ? Add user to required Performance Hub AD group ? Ask user to re-login and validate access,Azure Team
access_request,Azure,Azure subscription access request,"User name, subscription, justification",Verify access ? Get approval ? Assign RBAC role,Azure Team
secret_renewal,Azure,App registration secret expiry,"App name, expiry details",Generate new secret ? Update app config,Azure Team
access_request,Azure,Access to People section in Performance Hub,User details,Get approval ? Add to AD group ? Validate access,Azure Team
gpo_removal,Azure,Remove Bitwarden POC,GPO details,Remove policy from GPO,Azure Team
user_update,Azure,Change username to correct one,User details,Update AD/Azure username,Azure Team
application_access,Azure,Need Workday access,User details,Assign role/license ? Validate login,Azure Team
certificate_request,Azure,Certificate for Nong Khae TCP,Certificate details,Generate & deploy certificate,Azure Team
certificate_deployment,Azure,Push certificate to all machines,"Certificate, target scope",Deploy via GPO/Intune,Azure Team
gpo_update,Azure,Add NPS servers to WiFi GPO,Server details,Update GPO settings,Azure Team
ad_cleanup,Azure,Cleanup weak/dormant AD accounts,Account list,Disable/remove accounts,Azure Team
server_action,Azure,Clear server memory,Server details,Perform cleanup/reset,Azure Team
application_access,Azure,CMMS Control Tower access,User details,Check user eligibility ? Get approval from manager/application owner ? Verify AD group ? Add user to required Performance Hub AD group ? Ask user to re-login and validate access,Azure Team
application_access,Azure,CMMS access,User details,Check user eligibility ? Get approval from manager/application owner ? Verify AD group ? Add user to required Performance Hub AD group ? Ask user to re-login and validate access,Azure Team
application_access,Azure,CMMS dashboard access,User details,Check user eligibility ? Get approval from manager/application owner ? Verify AD group ? Add user to required Performance Hub AD group ? Ask user to re-login and validate access,Azure Team
access_request,Azure,CMMS KPI access via Performance Hub,User details,Approval ? Add to group ? Validate,Azure Team
access_request,Azure,Coil Performance Hub access,User details,Approval ? Add to group ? Validate,Azure Team
application_access,Azure,Control Tower access,User details,Grant access,Azure Team
application_issue,Azure,Control Tower access issue,"User details, error",Check role ? Fix permissions,Azure Team
access_coordination,Azure,Local admin access for VM,"User, VM details",Verify approval ? Grant access,Azure Team
data_update,Azure,Correct organizational chart,User/Org details,Update system data,Azure Team
gpo_update,Azure,Change URL in GPO shortcut,Old/New URL,Update GPO,Azure Team
ad_group_creation,Azure,Create AD group for Azure VM,"Group name, users",Create & assign group,Azure Team
ad_sync,Azure,Initiate AD push from ServiceNow,User/group details,Trigger sync job,Azure Team
access_request,Azure,Temporary CROWN_OFFICE access,"User details, duration",Grant temporary access,Azure Team
certificate_cleanup,Azure,Delete expired certificate from GPO,Certificate details,Remove from GPO,Azure Team
ou_cleanup,Azure,Delete Microland OU,OU details,Remove OU after validation,Azure Team
vm_deployment,Azure,Deploy new Azure VM,VM specs,Create & configure VM,Azure Team
security_configuration,Azure,Disable public access to storage,Storage account,Update security settings,Azure Team
dns_configuration,Azure,Add DNS entry,"DNS name, IP",Create DNS record,Azure Team
infrastructure_setup,Azure,DR resource build for QA,Environment details,Deploy DR resources,Azure Team
application_access,Azure,Energy Excellence access,User details,Grant access,Azure Team
sso_configuration,Azure,Esko SSO Azure sign-on,App/user details,Configure SSO,Azure Team
role_assignment,Azure,Exchange role assignment request,"User, role",Assign role in Exchange,Azure Team
extension_issue,Azure,Chrome extension issue,User/device,Check policy ? Reinstall/allow,Azure Team
access_request,Azure,Access Performance Hub,User details,Approval ? Add to group ? Validate,Azure Team
access_request,Azure,Performance Hub spares module access,User details,Approval ? Add to group ? Validate,Azure Team
extension_management,Azure,Bitwarden Chrome extension,User/device,Install/remove extension,Azure Team
account_creation,Azure,SharePoint accounts for Industry 4.0,User list,Create accounts,Azure Team
ad_update,Azure,Rename AD group,Group details,Update group name,Azure Team
access_request,Azure,New hire Azure access,User details,Approval ? Assign access,Azure Team
subscription_creation,Azure,New Azure subscription for Vision APAC,"Subscription name, business justification",Validate request ? Get approval ? Create subscription,Azure Team
vm_creation,Azure,New Azure VM for IIS,"VM specs, owner details",Validate requirements ? Create VM ? Assign access,Azure Team
contractor_access,Azure,New contractor access required,"Contractor details, duration, manager approval",Verify approval ? Create account/access,Azure Team
vm_creation,Azure,New VM request for Performance Hub Prod,"VM specs, environment details",Create VM and configure environment,Azure Team
database_access_issue,Azure,Unable to access Azure SQL database,"User details, DB name, error screenshot",Check firewall/access rules ? Verify permissions,Azure Team
application_implementation,Azure,NOTIF application implementation,"App details, deployment info",Deploy application and validate,Azure Team
gateway_access,Azure,SQL server gateway DB access,User/account details,Verify gateway permissions ? Grant access,Azure Team
browser_exception,Azure,Password manager exception in Chrome,User/device details,Update browser/GPO exception settings,Azure Team
application_access,Azure,Permission to Vision Global App,"User details, access level",Verify approval ? Assign app role,Azure Team
certificate_deployment,Azure,Push certificate to all machines,"Certificate details, device scope",Deploy certificate via GPO/Intune,Azure Team
access_request,Azure,PH Dev access request,User details,Approval ? Add required group ? Validate login,Azure Team
testing,Azure,Post implementation testing,Change details,Perform validation after implementation,Azure Team
resource_access,Azure,Access to resource in IBP / Perf Hub,"User details, module name",Verify role ? Grant access,Azure Team
access_request,Azure,Performance Hub access request,User details,Get approval ? Add required group in ticket ? Validate access,Azure Team
analytics_access,Azure,Need Sales Analysis access,User details,Verify approval ? Assign access role,Azure Team
module_access,Azure,Sustainability module access in Performance Hub,"User details, module",Add module permissions,Azure Team
mailbox_access,Azure,Mailbox access request,"User details, mailbox name",Verify approval ? Grant mailbox permission,Azure Team
module_access,Azure,Quality module access for Sevilla,User details,Assign module access,Azure Team
analysis_request,Azure,RC4/WeakPW/Dormant account analysis,Scope details,Run AD analysis and report findings,Azure Team
certificate_renewal,Azure,Microsoft certificate renewal,Certificate details,Renew certificate and deploy,Azure Team
group_removal,Azure,Removal from deny group,User/group details,Remove user after approval,Azure Team
gpo_removal,Azure,Remove Bitwarden / Eviosys GPO,GPO details,Remove policy and validate,Azure Team
ad_cleanup,Azure,Remove unused AD groups,Group details,Validate no dependencies ? Remove groups,Azure Team
password_policy_change,Azure,Set permanent password / disable 2FA,"Account details, approval",Verify exception approval ? Update settings,Azure Team
sharepoint_access,Azure,Request SharePoint access,"User details, site URL",Verify approval ? Grant access,Azure Team
keyvault_access,Azure,Azure Key Vault access request,"User details, vault name",Verify RBAC ? Grant access,Azure Team
app_registration,Azure,Azure AD App Registration for Performance Hub,App details,Create app registration,Azure Team
onedrive_access,Azure,OneDrive access for Power Automate,User/app details,Grant API/OneDrive permissions,Azure Team
subscription_access,Azure,Access to Industry 4.0 subscription,User details,Assign RBAC role,Azure Team
information_request,Azure,Request employee email addresses,Scope/business reason,Validate request ? Share approved info,Azure Team
dns_configuration,Azure,Private DNS settings for Grafana servers,"DNS details, server names",Create/update DNS settings,Azure Team
app_proxy_update,Azure,Update Azure App Proxy mapping,"App details, mapping info",Update proxy configuration,Azure Team
group_membership,Azure,Add user to Entra group,"User details, group name",Verify approval ? Add member,Azure Team
exchange_role_assignment,Azure,Assign exchange roles and SMTP access,"User details, role needed",Verify approval ? Assign role,Azure Team
security_group_creation,Azure,Create Entra ID security group for app access,"Group details, members",Create group and assign members,Azure Team
entra_group_creation,Azure,Create new Entra groups for Performance Hub,Group details,Create groups and validate sync,Azure Team
directory_data_request,Azure,Extract AD IDs for users,User list,Export requested AD IDs securely,Azure Team
software_installation,Azure,Request to install software,"Software name, device",Verify approval ? Install software,Azure Team
extension_unblock,Azure,Unblock PSI Chrome extension,User/device details,Check GPO/browser policy ? Unblock extension,Azure Team
sso_configuration,Azure,Build SSO configuration for payroll portal,"App details, SSO requirements",Configure SAML/OAuth/SSO integration,Azure Team
sentinel_installation,Endpoint Security,Sentinel One Installation,"Device name, OS type, user name","Check device connectivity, verify existing AV conflicts, install S1 agent, confirm agent status online",ITC - Cyber Security
sentinel_popup_alert,Endpoint Security,Sentinel popup on NES202-348614,"Device name, popup screenshot, user details","Verify alert type in SentinelOne console, check if false positive, isolate if malicious",ITC - Cyber Security
security_agent_disabled,Endpoint Security,SentinelOne Agent Security Agent Disabled,"Device name, site/location, screenshot","Check S1 service status, restart agent service, verify tamper protection",ITC - Cyber Security
ssh_port_request,Firewall / Security,SSH open on mailhost1.eur.crowncork.com,"Server name, port details, business justification","Validate SSH requirement, confirm firewall rule, check security approval",ITC - Cyber Security
security_concern,Security Incident,Re: IT concern,"User details, issue description, screenshots","Analyze reported concern, identify impact, escalate if security breach suspected",ITC - Cyber Security
email_not_received,Email Security,No Internal Emails being received,"Affected users, sender details, timestamps","Check mail flow, Proofpoint quarantine, Exchange message trace",ITC - Cyber Security
malware_alert,Endpoint Security,Sentinel ONE alert - TPnet.exe / PesadasEmail.exe,"Device name, alert screenshot","Review S1 threat details, quarantine malicious file, scan endpoint",ITC - Cyber Security
smartsheet_access,Application Access,Smartsheet Access,"User name, email ID, required role","Verify approval, assign Smartsheet access/license",ITC - Cyber Security
internet_allow_group,Internet Access,Add my Z account into GEUR-ap-GCXInternetAllow,"User ID, manager approval","Verify business justification, add user to internet allow AD group",ITC - Cyber Security
internet_blocked,Network Security,No internet access,"Device name, network type, affected sites","Check proxy/firewall restrictions, verify internet policy",ITC - Cyber Security
service_account_change,Service Account,Need a change in service account,"Service account name, requested changes","Validate approvals, update service account permissions/settings",ITC - Cyber Security
blocked_download_access,Web Access,Need to access a link to download a PDF file,"URL, screenshot, business reason","Verify URL reputation, whitelist if approved",ITC - Cyber Security
application_access,Application Access,Need access to RUBIX,"User ID, manager approval","Verify entitlement, grant application access",ITC - Cyber Security
software_installation,Software Installation,New software installation request,"Software name, version, business need",Verify software approval/security compliance before install,ITC - Cyber Security
temporary_unrestricted_access,Internet Exception,Temporary Unrestricted Internet Access,"User details, duration, approval","Validate approval, add temporary unrestricted access policy",ITC - Cyber Security
domain_rejoin,Endpoint Security,OLD PC CROWN DOMAIN BACK TO SECURITY SERVER,"Device details, issue description","Verify domain trust, rejoin domain, reinstall security tools if needed",ITC - Cyber Security
sentinel_linux_install,Endpoint Security,Sentinel one Linux Agent Uninstall and Install,"Linux server details, OS version","Remove existing agent cleanly, reinstall latest Linux S1 agent",ITC - Cyber Security
sentinel_install_device,Endpoint Security,Install SentinelOne on NES223-321912,"Device name, user details","Verify compatibility, install S1, confirm active protection",ITC - Cyber Security
powerbi_installation,Software Installation,Power BI desktop app installation,User device details,"Verify installation rights, install approved Power BI version",ITC - Cyber Security
server_onboarding,Server Security,New Servers,"Server details, IP, OS type","Ensure hardening checklist, install security agents, apply baseline policies",ITC - Cyber Security
document_review,Security Review,Document,"Document details, purpose",Review attached document for security/compliance concerns,ITC - Cyber Security
website_blocked,URL Access,https://www.herrco.gr/ not accessible,"URL, screenshot, user details","Check proxy/firewall logs, validate site reputation, whitelist if safe",ITC - Cyber Security
download_release,Download Restriction,Download blocked - NEBOSH exam,"URL/file details, screenshot","Verify file safety, release blocked download if compliant",ITC - Cyber Security
uniflow_access,Secure Printing,uniFLOW Online PIN,"User ID, printer details","Reset/reissue PIN, verify uniFLOW account sync",ITC - Cyber Security
remote_application_access,Remote Access,using a remote application,"Application name, remote access method",Verify remote app permissions and VPN requirements,ITC - Cyber Security
password_reset,Credential Management,Password Reset for user Martin.MULLINS,"User ID, identity verification","Reset password, confirm MFA/lockout status",ITC - Cyber Security
navigator_access,Application Access,Request for access to Read Meeting Navigator,"User details, approval",Verify approval and grant navigator access,ITC - Cyber Security
account_creation,Account Management,Create Account,"User details, role, approvals",Create account and apply required security groups,ITC - Cyber Security
service_account_onboarding,Service Account,onboard service account sDBO-Europe,"Service account details, owner approval","Create service account, apply policies and permissions",ITC - Cyber Security
vpn_access,VPN / BeyondTrust,provide VPN Access (Beyond Trust),"User details, business justification","Verify approval, assign BeyondTrust/VPN access",ITC - Cyber Security
website_unblock,URL Whitelist,Request to Unblock Website  Hotel Reservation,"URL, business reason",Verify site safety and whitelist if approved,ITC - Cyber Security
website_access_request,URL Access,Request Access to www.renold.com,"URL, justification",Validate website category and allow access if safe,ITC - Cyber Security
beyondtrust_server_add,Privileged Access,add VM VUK629-123046 to Beyond trust,"VM/server name, owner details","Verify onboarding approval, add server into BeyondTrust",ITC - Cyber Security
website_release,Web Security,Website is isolated/blocked,"URL, screenshot","Check Proofpoint isolation logs, release if safe",ITC - Cyber Security
proofpoint_block,Email/Web Security,Proofpoint is denying access to a website,"URL, screenshot, business reason",Review Proofpoint policy and whitelist if approved,ITC - Cyber Security
vulnerability_management,Security Vulnerability,Log4J vulnerabilities,Affected servers/apps,"Identify impacted systems, patch vulnerable components",ITC - Cyber Security
restricted_software_install,Software Installation,Installation request for Logitech G-HUB,"Software details, business justification",Validate software against security policy before install,ITC - Cyber Security
quarantine_release,Email Security,Release Quarantined email,"Sender/recipient details, subject",Review Proofpoint quarantine and release if safe,ITC - Cyber Security
engineering_software_install,Software Installation,MADe - Maintenance Aware Design Ecosystem install,"Software details, approval",Verify software source and install securely,ITC - Cyber Security
mac_app_install,Software Installation,Install rectangle app,"Device details, approval",Validate app security and install if compliant,ITC - Cyber Security
linux_s1_deployment,Endpoint Security,S1 installation Linux A628UK120,"Server name, Linux version",Install SentinelOne Linux agent and verify connectivity,ITC - Cyber Security
vendor_website_whitelist,URL Whitelist,Allow PPE vendor website,"Website URL, business justification",Validate website reputation and whitelist,ITC - Cyber Security
sentinel_uninstall,Endpoint Security,Please uninstall Sentinel one-S1,"Device details, approval",Verify approval and safely uninstall S1 agent,ITC - Cyber Security
url_whitelist_request,URL Whitelist,Add URL to Whitelist User ZAMPAKOU,"URL, business reason",Verify URL safety and update whitelist policy,ITC - Cyber Security
social_media_access,Internet Exception,require access to social media channels,"User details, requested sites",Verify approval and enable controlled access,ITC - Cyber Security
secure_user_setup,User Setup,New User (Divya) set up,"User details, required access","Create accounts, apply security policies, assign permissions",ITC - Cyber Security
government_portal_access,Secure Website Access,Access required to Government Portal,"Portal URL, user details",Verify business requirement and whitelist portal,ITC - Cyber Security
authentication_change,Authentication Management,Authentication Changes - OneDrive Migration Accounts,"Account details, migration scope",Verify authentication method and update access settings,ITC - Cyber Security
application_access_request,Application Access,accessing the Vision page,"User details, business justification",Validate access approval and update application permissions,ITC - Cyber Security
endpoint_protection_install,Endpoint Security,Sentinel One Installation,"Device name, OS type, user details","Verify device connectivity, check existing AV conflicts, install/update SentinelOne agent",ITC - Cyber Security
endpoint_protection_alert,Endpoint Security,Sentinel popup / Security Agent Disabled,"Device name, screenshot, alert details","Review alert in S1 console, restart services, isolate endpoint if malicious",ITC - Cyber Security
privileged_access_request,Privileged Access,Add VM to BeyondTrust,"Server/VM name, business justification, approval","Verify approvals, onboard server into BeyondTrust",ITC - Cyber Security
vpn_access_request,Remote Access,Provide VPN Access (Beyond Trust),"User details, manager approval, access duration",Validate VPN entitlement and assign secure remote access,ITC - Cyber Security
software_installation_request,Software Security,New software installation request,"Software name, version, business reason",Verify software compliance and approve installation,ITC - Cyber Security
restricted_software_install,Software Security,Install Logitech G-HUB / Rectangle App,"Device details, software source, approval",Validate software risk and whitelist/install if compliant,ITC - Cyber Security
linux_security_agent,Endpoint Security,S1 installation Linux A628UK120,"Linux server name, OS version","Remove old agent if needed, install latest S1 Linux package",ITC - Cyber Security
security_agent_removal,Endpoint Security,Please uninstall Sentinel one-S1,"Device name, approval details",Verify uninstall approval and remove agent safely,ITC - Cyber Security
malware_detection,Threat Management,Sentinel ONE alert - TPnet.exe,"Device name, threat screenshot","Analyze threat, quarantine malicious files, run endpoint scan",ITC - Cyber Security
vulnerability_management,Vulnerability Management,Log4J vulnerabilities,"Affected systems, application details",Identify vulnerable servers/apps and apply patches,ITC - Cyber Security
website_access_request,Web Access,Request access to blocked website,"URL, business justification, screenshot",Verify URL reputation and whitelist if approved,ITC - Cyber Security
internet_access_exception,Internet Access,Temporary Unrestricted Internet Access,"User details, approval, duration",Validate approval and apply temporary unrestricted policy,ITC - Cyber Security
social_media_access,Internet Access,Require access to social media channels,"Requested sites, business reason, approval",Verify business need and allow approved platforms,ITC - Cyber Security
download_release_request,Secure Download,Download blocked - NEBOSH exam,"File/URL details, screenshot",Verify file safety and release blocked download if safe,ITC - Cyber Security
proofpoint_release,Email Security,Release quarantined email,"Sender, recipient, email subject",Check quarantine policy and release if legitimate,ITC - Cyber Security
email_delivery_issue,Email Security,No Internal Emails being received,"Affected users, timestamps, sender details",Perform message trace and verify mail flow/security filtering,ITC - Cyber Security
web_filter_exception,Web Security,Proofpoint denying access to website,"URL, screenshot, business justification",Review web filter logs and whitelist safe websites,ITC - Cyber Security
account_creation,Identity Management,Create Account,"User details, role, approvals",Create secure account and assign required permissions,ITC - Cyber Security
service_account_management,Service Account,onboard service account sDBO-Europe,"Service account details, owner approval",Create/update service account with least privilege access,ITC - Cyber Security
password_reset,Credential Management,Password Reset for user,"User ID, verification details",Reset password and verify MFA/account lock status,ITC - Cyber Security
authentication_change,Authentication Security,Authentication Changes - OneDrive Migration Accounts,"Account details, migration scope",Update authentication settings and validate access,ITC - Cyber Security
application_access_request,Application Access,Need access to RUBIX / Vision page,"User details, approval, application name",Verify entitlement and assign application permissions,ITC - Cyber Security
smartsheet_access,SaaS Access,Smartsheet Access,"User email, access level",Verify approval and assign Smartsheet role/license,ITC - Cyber Security
government_portal_access,Secure Portal Access,Access required to Government Portal,"Portal URL, user details",Validate access request and whitelist portal if approved,ITC - Cyber Security
remote_application_access,Remote Access,using a remote application,"Application name, access method",Verify VPN/remote app permissions and connectivity,ITC - Cyber Security
secure_print_access,Print Security,uniFLOW Online PIN,"User details, printer/site details",Reset/reissue PIN and validate uniFLOW sync,ITC - Cyber Security
security_server_rejoin,Endpoint Security,OLD PC CROWN DOMAIN BACK TO SECURITY SERVER,"Device name, issue details",Rejoin device to domain and validate security policies,ITC - Cyber Security
server_security_onboarding,Server Security,New Servers,"Server name, OS, IP details",Apply hardening standards and install security agents,ITC - Cyber Security
certificate_or_ssh_request,Secure Connectivity,SSH open on mailhost / certificate requests,"Server details, port/certificate details",Verify firewall/security approval before implementation,ITC - Cyber Security
generic_security_concern,Security Incident,Re: IT concern,"Incident details, screenshots, affected users",Analyze security impact and escalate if needed,ITC - Cyber Security
windows_upgrade,SCCM,Win 10 to Win 11 Feature Update,"Device name, user name, upgrade version","Check device compatibility, verify SCCM deployment collection, push upgrade task sequence",SCCM Team
task_sequence_update,SCCM,Latest Win 11 Task Sequence - DELL Drivers,"Device model, driver package details","Validate driver package, update SCCM task sequence, test deployment",SCCM Team
software_packaging,SCCM,Create SAP GUI v8 package for Software Center,"Software package, version, deployment scope","Create SCCM package/application, test installation, deploy via Software Center",SCCM Team
missing_software,SCCM,New PC does not have software,"Device name, missing software list","Verify SCCM client health, trigger software deployment",SCCM Team
minitab_installation,SCCM,Minitab required,"User/device details, license approval","Verify license availability, deploy Minitab package",SCCM Team
visio_installation,SCCM,Visio installation,"User name, device name, version required","Verify Visio license, deploy application from SCCM",SCCM Team
office_installation,SCCM,Deploy Office 365 32-bit,"Device name, Office version","Validate architecture compatibility, deploy Office package",SCCM Team
network_join,SCCM,Add machine into Crown network,"Device name, MAC address",Verify SCCM client and AD join status,SCCM Team
software_center_issue,SCCM,Can't install applications by Software Center,"Device name, error screenshot","Check SCCM client service, repair Software Center cache",SCCM Team
autocad_installation,SCCM,Install AutoCAD,"Device name, AutoCAD version, approval","Verify AutoCAD license, deploy application",SCCM Team
device_removal_sccm,SCCM,Remove device from SCCM,Device name,"Validate device object, remove from SCCM collections",SCCM Team
sccm_report_access,SCCM,SCCM report access required,"User ID, manager approval",Provide SCCM reporting role/group access,SCCM Team
copilot_package,SCCM,Create SCCM package for MS Copilot,"Software source, deployment scope",Package application and deploy through SCCM,SCCM Team
heic_reader_install,SCCM,HEIC reader installer,Device details,Deploy HEIC extension package via SCCM,SCCM Team
sccm_remote_control,SCCM,SCCM Remote Control,"Device name, user approval",Verify remote tools permissions and SCCM client,SCCM Team
sccm_reinstall,SCCM,Re-installation SCCM + TeamViewer installation,Device name,"Reinstall SCCM client, deploy TeamViewer",SCCM Team
phone_configuration,SCCM,CMMS Phones Configurations - Parma,"Site/location, device details",Push phone config package and validate sync,SCCM Team
application_expiry,SCCM,8x8 Work Expiring,Device/user details,Verify subscription/package validity and renew deployment,SCCM Team
autocad_license,SCCM,AutoCAD License & Download Request,"User details, device name",Validate license assignment and deploy installer,SCCM Team
quality_companion_access,SCCM,Access to Minitab & Quality Companion,"Hostname, user approval",Verify software entitlement and deploy package,SCCM Team
unattended_policy_add,SCCM,Add PC to SCCM unattended policy,Device name,Add device to SCCM collection and apply unattended policy,SCCM Team
unattended_policy_remove,SCCM,Remove device from SCCM unattended policy,Device name,Remove device from SCCM unattended collections,SCCM Team
ms_project_installation,SCCM,Microsoft Projects installation,"User details, license request",Verify MS Project license and deploy package,SCCM Team
phone_configuration,SCCM,Korinthos Phones Configuration + Process Tracking,"Site name, device details",Deploy phone configuration package and validate tracking setup,SCCM Team
softphone_installation,Software Support,8x8 work installation,"User name, PC name","Verify license/application availability, basic reinstall if needed",SD Team
remote_viewer_access,SCCM,SCCM remote viewer access,"User details, business justification",Provide MECM/SCCM remote control permissions,SCCM Team
sccm_report_access,SCCM,SCCM report access,"User details, approval",Validate approval and assign SCCM reporting access,SCCM Team
bitlocker_portal_access,SCCM,Bitlocker admin portal access,"User details, manager approval",Add user to Bitlocker admin access group,SCCM Team
windows_upgrade,SCCM,Upgrade VM PC to Windows 11,"Device name, OS version",Validate compatibility and deploy Windows 11 upgrade task,SCCM Team
remote_control_installation,SCCM,MECM Remote control viewer - Teamviewer installation,Device name,Install MECM remote viewer and TeamViewer package,SCCM Team
sap_client_reinstall,SCCM,Re-install SAP Secure Login Client,"Device name, SAP version",Reinstall SAP Secure Login Client and verify connectivity,SCCM Team
minitab_installation,Software Support,Request to setup Minitab,"Device name, user approval",Verify license availability and install software,SD Team
software_bundle_installation,Software Support,Minitab Workspace and MS Project installation,"Device name, software list",Install requested software and validate access,SD Team
pxe_boot_issue,SCCM,PXE Boot not protected,Device name/site,Check PXE configuration and SCCM distribution point settings,SCCM Team
unattended_policy_add,SCCM,Add PC to SCCM unattended policy,Device name,Add device to unattended deployment collection,SCCM Team
package_publish_request,SCCM,Publish packages for all PCs/Laptops,"Site/location, package details",Create deployment collection and publish packages,SCCM Team
application_deployment,SCCM,Kechnec application deployment,"Application name, target devices",Package and deploy application through SCCM,SCCM Team
teamviewer_deployment,SCCM,Deploy TeamViewer QS,Device name,Push TeamViewer package and validate installation,SCCM Team
software_update,SCCM,Update Microsoft To Do,Device name,Deploy latest software update package,SCCM Team
planner_installation,Software Support,MS Planner installation,"Device name, user details",Verify license and install Planner application,SD Team
visio_installation,Software Support,Microsoft Visio installation request,"Device name, version required",Validate Visio license and install software,SD Team
powerbi_update,Software Support,Update Power BI Desktop,"Device name, current version",Install/update latest Power BI version,SD Team
ms_project_installation,Software Support,Microsoft Project installation,"Device name, license approval",Verify license and install MS Project,SD Team
missing_software,Software Support,New laptop missing Minitab and 8x8,"Device name, software list",Install missing applications and verify functionality,SD Team
telephone_system_support,Software Support,8x8 Telephone System,User/device details,Verify installation and connectivity,SD Team
network_build,SCCM,Network Build at Osmaniye Site,"Site details, scope",Coordinate SCCM deployment and network configuration,SCCM Team
software_installation,Software Support,Software installation in new laptop,"Device name, required software",Install requested software applications,SD Team
office_install_failure,SCCM,Office install failing through Software Center,"Device name, error screenshot",Check SCCM client logs and repair Software Center cache,SCCM Team
device_removal_sccm,SCCM,Remove device from SCCM/MECM,Device name,Delete device object from SCCM/MECM collections,SCCM Team
imaging_issue,SCCM,Microsoft Surface Pro imaging issues,"Device name, error details","Check task sequence, drivers, and PXE boot configuration",SCCM Team
sccm_installation,SCCM,SCCM installation request,Device name/site,Install SCCM client and validate communication,SCCM Team
software_inventory_report,SCCM,SCCM report of Global Protect versions,Scope/region details,Generate SCCM inventory report,SCCM Team
pxe_boot_troubleshooting,SCCM,Issue with PXE boot,"Device name, error screenshot",Validate PXE service point and boot image configuration,SCCM Team
language_pack_installation,SCCM,Add German language pack for Software Center,"Device name, language pack",Deploy language pack via SCCM,SCCM Team
project_plan_installation,Software Support,Planner and Project Plan 3 Installation,"Device name, user details",Verify license assignment and install applications,SD Team
device_cleanup,SCCM,Delete PCs from MECM,Device list,Remove obsolete devices from MECM and SCCM,SCCM Team
endpoint_cleanup,SCCM,"Delete computer objects from AD, SentinelOne and MECM","Device names, justification","Coordinate cleanup across AD, MECM, and security tools",SCCM Team
